,feature_politeness_==Please==,feature_politeness_==Please_start==,feature_politeness_==HASHEDGE==,feature_politeness_==Indirect_(btw)==,feature_politeness_==Hedges==,feature_politeness_==Factuality==,feature_politeness_==Deference==,feature_politeness_==Gratitude==,feature_politeness_==Apologizing==,feature_politeness_==1st_person_pl.==,feature_politeness_==1st_person==,feature_politeness_==1st_person_start==,feature_politeness_==2nd_person==,feature_politeness_==2nd_person_start==,feature_politeness_==Indirect_(greeting)==,feature_politeness_==Direct_question==,feature_politeness_==Direct_start==,feature_politeness_==HASPOSITIVE==,feature_politeness_==HASNEGATIVE==,feature_politeness_==SUBJUNCTIVE==,feature_politeness_==INDICATIVE==,msg_id
Game1-italy-germany-0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,Game1-italy-germany-0
Game1-italy-germany-3,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Game1-italy-germany-3
Game1-italy-germany-7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,Game1-italy-germany-7
Game1-italy-germany-8,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Game1-italy-germany-8
Game1-italy-germany-9,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Game1-italy-germany-9
Game1-italy-germany-10,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,Game1-italy-germany-10
Game1-italy-germany-11,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,Game1-italy-germany-11
Game1-italy-germany-12,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,Game1-italy-germany-12
Game1-italy-germany-13,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-13
Game1-italy-germany-14,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,Game1-italy-germany-14
Game1-italy-germany-16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Game1-italy-germany-16
Game1-italy-germany-17,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-17
Game1-italy-germany-18,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-18
Game1-italy-germany-21,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,Game1-italy-germany-21
Game1-italy-germany-22,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,Game1-italy-germany-22
Game1-italy-germany-23,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,Game1-italy-germany-23
Game1-italy-germany-24,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,Game1-italy-germany-24
Game1-italy-germany-25,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,Game1-italy-germany-25
Game1-italy-germany-26,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Game1-italy-germany-26
