,frequency
much austria moving toward,2207
much interesting to,1938
mun bot,1185
moving on the,1000
moving nth,815
mun ber pru,757
moving out of the,590
mun bounce in,582
moving edi into,565
much of england are,525
much better for,490
much interesting to say,477
moving nth into hol,468
much naval power to,456
my moves planned,447
much better to,417
moves but that,416
moving nrwy,403
moving my fleet down,396
moves to betray me,389
moving marseilles into,386
moving nth into,377
mun ber,339
my day,339
moving on me,323
mun ber pru gob,280
moves to betray,275
much austria in it,272
move con into,271
moving on norway,269
my fleets around,267
my,256
munich is safe this,253
moving after this season,248
nap to rome all,236
much can do,235
my eye on,229
needed to go it,225
moves against,224
munich is vulnerable,223
move den to nth,218
moving forward particularly,213
more keen to,211
moving after this,209
mistreated,209
munich is safe,209
moves against you,209
my ability,195
move away,189
mun boh sil mun,188
moves and been,185
neutrals,183
moving one of my,182
moving my fleet,182
nervous about your two,176
norway in the fall,174
my gre convoying,171
moving nrwy nwgs,161
move to rumania if,158
my dear kaiser,148
mun bot bal nwy,144
moves of yours and,143
moves to back,142
my fleets on turkey,140
moves and,139
much of relationship,134
moves of,130
much better,129
mun ber kie,128
much but enough,126
much of protection,126
neck to,125
moving on the italians,124
might succeed,123
mind gaming,122
my guess is that,121
moving forward,121
move up,119
my suggestion,116
my plan for 1902,115
my fleets into the,114
never advise you,112
not be allowed,110
my border is safe,106
moves yet,105
move to prevent it,104
move out if you,104
me displacing the,103
never advise,103
moving on him,102
not told,102
much austria in,102
my guess is,100
my units,96
much needed sleep and,94
moving marseilles,94
need an actual commitment,93
meant italy is working,92
much like that,92
mun bounce,91
now and ive got,90
moving outta,88
move to pru works,86
not going after,85
my fleets south,82
my experience italy rarely,82
motivated to attack him,81
need anything,81
munich or,80
moving out of belguim,80
move on rum,79
my stuff up there,79
move to piedmont,78
moving on norway from,78
much but,78
moves though so,77
mostly consist of cooperating,75
moves on russia,75
might not stay,73
mostly we had,72
of yours,72
move to pie,72
moves though so you,72
me and the would,71
no other,71
move as the,70
my border is,70
more than what he,70
north so,70
more than build,69
no sorry,69
nap to,69
munich to break through,67
need to prop you,67
me lol,67
my dear,67
move onto,66
naples,66
my dmz,66
me without,66
mistook you for,65
might ring hollow,65
my territories and two,63
my moves to that,62
money for something and,62
move to tun do,62
my boys,62
my day to day,62
mind leaving stp,61
mostly fleets,61
moves of yours,60
moving into the med,60
makes it seem more,60
moves,60
me that greece would,60
move den,60
not looking,59
moved it,59
more specifically planning to,59
mun bot bal,59
my ability to,59
not too strong so,59
minimal objections,58
nao mao,58
negotaitions with,58
move to prevent,57
monday,57
message anyone,57
no choice,57
my position and really,57
moving both your,56
moving,55
moving both out,55
more information than,55
much better to do,55
of course holding,54
make moves,54
neutrals this year,54
move to pic,54
me messages,54
mistook,54
no indication of,53
nth hol,53
not really but,53
might collaborate next,52
not to try to,52
move west,52
mutually benefits us as,52
more level,52
no contract law,52
neighbors how goes it,52
next year or,51
my inclination when,51
moves before full,51
move set that doesnt,51
my fleets,51
nosy and apologize in,50
mistreated you,50
me displacing the last,50
may make him,50
moving nrwy nwgs to,50
not do much,50
move on kiel,50
once russia is done,49
mun ruh sil,49
mean you ll,48
masterfully,48
now to stop the,48
off the board for,47
much like,47
not sure whether,47
moves on austria would,47
not losing one,47
position to be,46
more imperative,46
mistook you,46
now realize what wrote,46
my fleets onces,46
leaning towards fleet,46
my own damn,46
lmao ve been talking,46
much detail but,46
message back but haven,45
melt,45
offering you,45
more than what,45
nation,44
no indication,44
munich or go after,44
moveset,44
move up everything else,43
my foothold on,43
moving out of,43
much info right now,43
moving both out but,43
my offer is superior,43
kind of the same,43
me to always be,43
my territory,42
necessary to,42
move out if,42
nao in spring,42
moving my,42
my fleets around his,41
my pitch year,41
luck has to,41
of the upshots was,41
my eye,41
naples and can then,41
more than demark and,41
my day to,40
not really,40
meant if you,40
me doing,40
of their units,40
my thought,40
my moves to,39
my guess who,39
mistake moving,39
lower his,39
luck has,39
me something,39
myself from tournament,39
my plan for,39
new italy message hmmm,38
need you for,38
moves before,38
mun ber sil,38
nth into helgo,38
move up everything,38
marseille so little nervous,38
makes sense,38
keep our options open,37
make moves to,37
my fleets onces england,37
me to have swe,37
neither france or england,37
making that problem,37
me know you saw,37
nth is,37
minority thing,37
my heart and,37
my fleet towards,36
north or revert,36
litterally have unit in,36
or to win,36
likely it seems are,36
on austria this season,36
made me beautiful,35
never be real,35
naples and it lot,35
me into ukr,35
