feature_politeness_==Please==,feature_politeness_==Please_start==,feature_politeness_==HASHEDGE==,feature_politeness_==Indirect_(btw)==,feature_politeness_==Hedges==,feature_politeness_==Factuality==,feature_politeness_==Deference==,feature_politeness_==Gratitude==,feature_politeness_==Apologizing==,feature_politeness_==1st_person_pl.==,feature_politeness_==1st_person==,feature_politeness_==1st_person_start==,feature_politeness_==2nd_person==,feature_politeness_==2nd_person_start==,feature_politeness_==Indirect_(greeting)==,feature_politeness_==Direct_question==,feature_politeness_==Direct_start==,feature_politeness_==HASPOSITIVE==,feature_politeness_==HASNEGATIVE==,feature_politeness_==SUBJUNCTIVE==,feature_politeness_==INDICATIVE==,msg_id,HITId,Input.sentence_id,Input.convo_id,Input.train_test_val,Input.msg_id,Input.timestamp,Input.full_text,Input.speaker,Input.reply_to,Input.speaker_intention,Input.reciever_perception,Input.reciever,Input.absolute_message_index,Input.relative_message_index,Input.year,Input.game_score_speaker,Input.game_score_receiver,Input.game_score_delta,Input.deception_quadrant,Input.num_words,Input.num_characters,Input.sno,Input.sno1,Input.similar_text_id,affcon_gamemove,affcon_reasoning,affcon_rapport,affcon_shareinformation,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,Game1-italy-germany-0,38O9DZ0A62NB3H9PQTFQYYLR2Y0260,5,Game1-italy-germany,Train,Game1-italy-germany-0,74,"Im thinking that this is a low stakes game, not a tournament or anything, and an interesting and unusual move set might make it more fun?",italy-Game1,,Truth,Truth,germany-Game1,74,0,1901,3,3,0,Straightforward,26,138,82,67.0,2577,1.0,1.0,1.0,1.0,26,16.45,12.43,38.39,89.84,26.00,19.23,88.46,53.85,19.23,3.85,3.85,0.00,0.00,0.00,0.00,15.38,11.54,0.00,11.54,0.00,11.54,3.85,23.08,7.69,3.85,0.00,0.00,3.85,11.54,7.69,3.85,0.00,0.00,3.85,3.85,0.00,0.00,0.00,0.00,26.92,3.85,3.85,3.85,11.54,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,3.85,0.00,3.85,0.00,0.00,0.00,15.38,3.85,7.69,3.85,3.85,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.54,0.00,7.69,0.00,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00
0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,Game1-italy-germany-0,3WA2XVDZEMH3YXL5JDAR0ZUGZ1JE67,7,Game1-italy-germany,Train,Game1-italy-germany-0,74,What is your appetite like for unusual and crazy?,italy-Game1,,Truth,Truth,germany-Game1,74,0,1901,3,3,0,Straightforward,9,49,39,4.0,19131,1.0,1.0,0.0,1.0,9,46.37,98.62,1.00,1.00,9.00,22.22,100.00,66.67,22.22,11.11,0.00,0.00,11.11,0.00,0.00,11.11,0.00,22.22,11.11,0.00,11.11,0.00,11.11,11.11,11.11,11.11,0.00,0.00,11.11,0.00,11.11,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,11.11,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00
0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Game1-italy-germany-9,3FVBZG9CLJEK4WQS7P2GC1H2EEQH0Q,16,Game1-italy-germany,Train,Game1-italy-germany-9,121,I am going to take it literally and say  even though I dont think you meant it deceptively.,italy-Game1,Game1-italy-germany-8,Truth,Truth,germany-Game1,121,9,1901,3,3,0,Straightforward,19,93,5,20.0,20577,1.0,1.0,1.0,1.0,18,1.00,28.91,98.01,25.77,18.00,11.11,88.89,61.11,27.78,16.67,11.11,0.00,5.56,0.00,0.00,11.11,0.00,5.56,11.11,11.11,11.11,5.56,38.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,16.67,11.11,0.00,0.00,0.00,0.00,5.56,5.56,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,0.00,0.00,5.56,0.00,5.56,27.78,5.56,5.56,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,Game1-italy-germany-10,36FQTHX3Z3R6UBM3QKA3SOCBMDAB34,19,Game1-italy-germany,Train,Game1-italy-germany-10,123,"As of right now, I think Austria may be my most reliable ally.",italy-Game1,Game1-italy-germany-9,Truth,Truth,germany-Game1,123,10,1901,3,3,0,Straightforward,13,62,35,62.0,18386,1.0,1.0,1.0,1.0,13,24.14,22.08,99.00,25.77,13.00,15.38,84.62,53.85,15.38,15.38,15.38,0.00,0.00,0.00,0.00,0.00,0.00,15.38,15.38,7.69,7.69,0.00,23.08,15.38,15.38,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,7.69,0.00,0.00,23.08,7.69,0.00,0.00,15.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,7.69,0.00,0.00,0.00,0.00,0.00,23.08,7.69,15.38,0.00,7.69,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,7.69,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,Game1-italy-germany-10,3YO4AH2FPDKXHPPVQFPALF9351UQ03,18,Game1-italy-germany,Train,Game1-italy-germany-10,123,But I think I can get over Lagergate and we can still be friends.,italy-Game1,Game1-italy-germany-9,Truth,Truth,germany-Game1,123,10,1901,3,3,0,Straightforward,14,67,88,94.0,918,0.0,0.0,1.0,0.0,14,1.00,50.00,99.00,25.77,14.00,14.29,92.86,71.43,21.43,21.43,14.29,7.14,0.00,0.00,0.00,0.00,0.00,7.14,21.43,7.14,14.29,0.00,21.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,7.14,0.00,0.00,14.29,7.14,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,14.29,0.00,7.14,7.14,0.00,0.00,35.71,0.00,14.29,0.00,7.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,Game1-italy-germany-11,3KTZHH2ONIFOEZW6TQV8XLVGEY1M8R,23,Game1-italy-germany,Train,Game1-italy-germany-11,124,"I'll consider this proposal but, basically, I'm not going to expose myself to risk from either of you until I've seen a bit of your behavior",germany-Game1,Game1-italy-germany-10,Truth,Truth,italy-Game1,124,11,1901,3,3,0,Straightforward,26,140,11,20.0,19633,1.0,1.0,0.0,0.0,26,33.48,6.21,99.00,1.00,26.00,15.38,92.31,65.38,26.92,23.08,15.38,0.00,7.69,0.00,0.00,3.85,3.85,23.08,11.54,3.85,7.69,3.85,23.08,3.85,3.85,0.00,0.00,7.69,3.85,0.00,3.85,3.85,0.00,0.00,7.69,0.00,0.00,0.00,0.00,15.38,3.85,0.00,0.00,0.00,0.00,11.54,3.85,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,0.00,0.00,0.00,0.00,3.85,3.85,11.54,7.69,11.54,7.69,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.23,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,11.54,0.00,0.00
0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-13,3FI30CQHVKJ5RU9L9M81ZROVW47B65,38,Game1-italy-germany,Train,Game1-italy-germany-13,151,I feel like England and France are working together.,italy-Game1,Game1-italy-germany-12,Truth,Truth,germany-Game1,151,13,1901,3,3,0,Straightforward,9,52,85,13.0,3573,1.0,0.0,1.0,1.0,9,46.37,50.00,98.01,25.77,9.00,33.33,77.78,44.44,11.11,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,11.11,11.11,0.00,11.11,0.00,33.33,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,22.22,11.11,11.11,0.00,0.00,0.00,0.00,22.22,0.00,11.11,0.00,11.11,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,Game1-italy-germany-14,3PKJ68EHDNWR62RETXCMU6WYDNWHJX,39,Game1-italy-germany,Train,Game1-italy-germany-14,171,"I appreciate the tip, but I'm wondering why you're so against ousting me from Munich if I haven't explicitly agreed to be your ally?",germany-Game1,Game1-italy-germany-13,Truth,Truth,italy-Game1,171,14,1901,3,3,0,Straightforward,24,132,65,15.0,4825,1.0,1.0,1.0,1.0,24,1.92,4.80,99.00,99.00,24.00,20.83,87.50,66.67,25.00,25.00,16.67,0.00,8.33,0.00,0.00,0.00,4.17,12.50,16.67,8.33,12.50,4.17,20.83,0.00,0.00,4.17,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,12.50,0.00,4.17,0.00,0.00,33.33,8.33,4.17,4.17,8.33,4.17,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,4.17,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.83,0.00,4.17,0.00,0.00,4.17,0.00,0.00,0.00,12.50,0.00,0.00
0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,Game1-italy-germany-21,3YCT0L9OMM9CF1WFJPGDRRKHVIKNSU,50,Game1-italy-germany,Train,Game1-italy-germany-21,280,"Sorry, busy weekend here running around with bambinos.",italy-Game1,Game1-italy-germany-20,Truth,Truth,germany-Game1,280,21,1901,4,3,-1,Straightforward,8,54,25,35.0,2590,1.0,1.0,1.0,1.0,8,93.26,50.00,99.00,1.00,8.00,37.50,87.50,37.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,25.00,0.00,0.00,12.50,25.00,0.00,0.00,0.00,0.00,12.50,0.00,12.50,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,12.50,12.50,25.00,12.50,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,Game1-italy-germany-23,3L1EFR8WWT5IMUNZCVX92R6I138F93,55,Game1-italy-germany,Train,Game1-italy-germany-23,338,"The reason is that: if I help you to Marseilles, Im basically cut off from going west and getting anything myself.",italy-Game1,Game1-italy-germany-22,Truth,Truth,germany-Game1,338,23,1901,4,3,-1,Straightforward,21,115,15,21.0,12479,1.0,0.0,1.0,1.0,21,18.82,31.71,98.01,1.00,21.00,19.05,95.24,66.67,28.57,19.05,14.29,0.00,4.76,0.00,0.00,9.52,4.76,14.29,9.52,4.76,9.52,0.00,19.05,0.00,0.00,0.00,0.00,0.00,4.76,0.00,4.76,0.00,0.00,0.00,9.52,0.00,0.00,0.00,0.00,14.29,4.76,4.76,4.76,9.52,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,4.76,0.00,4.76,4.76,0.00,0.00,9.52,4.76,14.29,4.76,9.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,4.76,4.76,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
